New code;Area code;Local Authority;1991-1993;1992-1994;1993-1995;1994-1996;1995-1997;1996-1998;1997-1999;1998-2000;1999-2001;Men;Women
;;;;;;;;;;;;;
E09000002;00AB;Barking and Dagenham;72,5;73,0;73,2;73,2;73,0;73,2;73,4;73,9;74,2;77,6;82,1
E09000003;00AC;Barnet;75,4;75,7;76,0;76,2;76,4;76,5;77,1;77,2;77,5;82,1;85,1
E09000004;00AD;Bexley;75,4;75,5;75,6;75,8;75,9;75,9;76,1;76,6;77,0;80,4;84,4
E09000005;00AE;Brent;73,4;73,9;73,9;74,2;74,3;74,4;74,9;75,4;76,0;80,1;85,1
E09000006;00AF;Bromley;75,4;75,6;75,5;75,8;76,3;76,7;76,9;77,0;77,2;81,4;84,9
E09000007;00AG;Camden;71,6;71,7;71,4;71,8;72,6;73,1;73,1;73,3;73,6;81,8;86,7
E09000008;00AH;Croydon;74,2;74,8;74,9;75,0;75,1;75,5;75,9;76,0;76,4;80,3;83,6
E09000009;00AJ;Ealing;73,2;73,6;73,9;73,9;74,3;74,6;75,1;75,3;75,7;80,6;84,2
E09000010;00AK;Enfield;74,8;75,0;75,3;75,4;75,5;75,4;75,7;75,9;76,3;80,7;84,1
E09000011;00AL;Greenwich;72,5;72,8;73,1;73,3;73,3;73,3;73,6;74,0;74,3;79,0;82,5
E09000012;00AM;Hackney;71,3;71,7;71,4;71,7;71,9;72,6;72,7;73,3;73,6;78,5;83,3
E09000013;00AN;Hammersmith and Fulham;70,8;71,1;71,1;71,3;72,0;72,8;73,5;74,1;75,0;79,7;84,1
E09000014;00AP;Haringey;72,5;72,7;72,6;72,8;72,9;73,4;73,9;74,1;74,4;80,1;84,9
E09000015;00AQ;Harrow;75,9;76,1;75,7;75,9;75,9;76,6;76,4;77,1;77,5;82,7;86,1
E09000016;00AR;Havering;74,3;74,9;74,8;74,9;75,1;75,3;75,9;76,2;76,6;80,2;83,9
E09000017;00AS;Hillingdon;74,6;75,1;75,3;75,3;75,4;75,5;75,8;76,0;76,3;80,4;83,9
E09000018;00AT;Hounslow;73,3;73,7;74,0;74,1;74,4;74,6;75,0;75,0;75,1;80,0;83,9
E09000019;00AU;Islington;71,3;71,1;71,4;71,5;72,2;72,6;72,9;73,4;73,3;79,0;83,5
E09000020;00AW;Kensington and Chelsea;73,0;73,3;72,9;73,3;74,1;75,5;76,6;77,3;78,1;83,3;86,4
E09000021;00AX;Kingston upon Thames;75,5;75,7;76,0;75,9;76,1;76,2;76,5;77,0;77,3;82,0;84,6
E09000022;00AY;Lambeth;71,0;71,3;71,2;71,3;71,6;72,0;72,6;72,6;73,0;78,9;83,3
E09000023;00AZ;Lewisham;72,3;72,3;72,3;72,3;72,2;72,5;72,9;73,2;73,5;79,0;83,4
E09000024;00BA;Merton;74,7;75,2;75,2;75,5;75,4;75,8;76,1;76,7;76,7;80,4;84,2
E09000025;00BB;Newham;71,4;71,8;71,6;71,9;71,6;71,8;71,6;72,3;72,7;78,5;83,0
E09000026;00BC;Redbridge;74,6;75,0;75,5;75,6;75,8;76,1;76,2;76,4;76,5;80,9;84,6
E09000027;00BD;Richmond upon Thames;74,9;74,8;74,8;75,3;75,9;76,5;76,9;77,0;77,4;82,4;86,0
E09000028;00BE;Southwark;71,2;71,1;71,5;71,5;72,3;72,9;73,4;73,3;73,3;78,9;83,9
E09000029;00BF;Sutton;75,1;75,1;75,0;75,4;75,5;75,7;75,7;75,9;76,4;80,9;83,4
E09000030;00BG;Tower Hamlets;70,6;70,7;70,6;70,6;71,3;72,0;72,5;72,8;72,7;78,1;82,5
E09000031;00BH;Waltham Forest;73,5;73,4;73,5;73,7;74,0;74,0;74,1;74,3;74,4;79,4;83,8
E09000032;00BJ;Wandsworth;71,8;72,1;72,6;73,1;73,3;73,7;74,3;74,8;75,1;79,5;83,7
E09000033;00BK;Westminster;72,4;72,5;72,5;73,2;73,9;74,6;75,9;76,3;77,1;82,3;86,3
;;;;;;;;;;;;;
E12000001;A;North East;72,0;72,4;72,7;73,0;73,1;73,2;73,5;73,9;74,3;78,0;81,7
E12000002;B;North West;72,4;72,7;72,8;73,1;73,2;73,4;73,6;73,9;74,2;78,1;81,9
E12000003;D;Yorkshire and The Humber;73,1;73,5;73,6;73,9;74,1;74,2;74,4;74,7;75,1;78,7;82,4
E12000004;E;East Midlands;73,7;74,1;74,3;74,6;74,8;74,9;75,1;75,3;75,7;79,4;83,0
E12000005;F;West Midlands;73,2;73,5;73,7;74,0;74,2;74,5;74,6;74,8;75,1;78,9;82,9
E12000006;G;East of England;75,0;75,3;75,5;75,7;75,9;76,1;76,3;76,5;76,8;80,4;83,8
E12000007;H;London;73,3;73,6;73,7;73,9;74,1;74,5;74,9;75,2;75,5;80,3;84,2
E12000008;J;South East;74,9;75,3;75,4;75,7;75,8;76,1;76,3;76,6;76,9;80,5;84,0
E12000009;K;South West;74,9;75,3;75,4;75,6;75,8;76,1;76,4;76,7;76,9;80,2;83,9
;;;;;;;;;;;;;
W92000004;924;Wales;73,3;73,4;73,4;73,7;73,8;74,2;74,3;74,6;74,8;78,5;82,3
E92000001;921;England;73,7;74,0;74,2;74,4;74,6;74,8;75,1;75,4;75,7;79,5;83,2
K04000001;941;England and Wales;73,6;73,9;74,1;74,3;74,5;74,7;75,0;75,3;75,6;79,4;83,1
;;;;;;;;;;;;;
K02000001;926;UK;73,4;73,7;73,8;74,1;74,3;74,5;74,8;75,0;75,4;n/a;n/a
