Code;Area;Any neurotic disorder;All phobias;Depressive episode;Generalised anxiety disorder;Mixed anxiety depression;Obsessive compulsive disorder;Panic disorder;Population 16-74
;;;;;;;;;
00AA;City of London;190,6;22,0;39,5;60,4;84,4;15,9;9,4;6 508
00AB;Barking and Dagenham;177,5;21,3;34,4;51,1;82,6;15,2;8,2;115 021
00AC;Barnet;167,4;20,0;32,5;49,0;77,4;14,1;7,9;237 591
00AD;Bexley;155,6;18,5;30,4;45,9;71,7;13,0;7,3;158 936
00AE;Brent;182,3;21,8;35,2;53,0;84,4;15,5;8,5;206 668
00AF;Bromley;157,7;18,7;31,0;47,2;72,4;13,1;7,4;213 167
00AG;Camden;206,3;24,7;39,3;58,5;97,0;17,8;9,5;177 766
00AH;Croydon;172,4;20,7;33,7;50,9;79,5;14,6;8,0;244 981
00AJ;Ealing;174,4;20,8;34,0;51,7;80,0;14,7;8,2;232 149
00AK;Enfield;170,7;20,4;33,4;50,4;78,7;14,4;7,9;206 627
00AL;Greenwich;189,8;22,8;36,7;54,9;88,3;16,2;8,8;162 193
00AM;Hackney;212,7;25,9;40,6;61,1;99,6;18,2;9,7;152 220
00AN;Hammersmith and Fulham;205,7;24,7;39,2;59,6;95,9;17,4;9,6;135 172
00AP;Haringey;200,9;24,2;38,8;58,7;93,0;17,1;9,3;171 637
00AQ;Harrow;153,9;18,2;30,0;45,4;70,8;12,9;7,3;157 462
00AR;Havering;151,4;17,7;29,7;44,8;69,5;12,7;7,2;162 862
00AS;Hillingdon;160,1;19,1;31,2;46,5;74,1;13,7;7,4;180 955
00AT;Hounslow;168,9;20,1;33,0;49,8;77,6;14,4;8,0;163 544
00AU;Islington;212,7;25,7;40,6;60,6;100,0;18,3;9,7;145 868
00AW;Kensington and Chelsea;195,2;23,4;37,9;57,2;90,4;16,6;9,1;138 383
00AX;Kingston upon Thames;164,3;19,5;32,1;48,1;75,6;14,1;7,7;115 929
00AY;Lambeth;209,9;25,3;40,6;62,3;96,8;17,7;9,8;210 385
00AZ;Lewisham;197,9;24,0;38,6;58,5;91,4;16,8;9,1;190 745
00BA;Merton;171,4;20,6;33,3;50,8;78,9;14,4;8,1;147 569
00BB;Newham;190,9;23,0;36,7;54,2;88,8;16,7;8,8;181 289
00BC;Redbridge;161,6;19,2;31,6;47,7;74,3;13,6;7,6;180 090
00BD;Richmond upon Thames;166,4;20,0;33,2;50,7;75,7;13,9;7,9;132 009
00BE;Southwark;206,4;24,9;39,9;60,2;95,6;17,8;9,5;203 120
00BF;Sutton;161,2;19,2;31,7;48,2;73,9;13,5;7,6;133 216
00BG;Tower Hamlets;198,0;23,6;37,5;56,3;92,9;17,0;9,1;157 562
00BH;Waltham Forest;183,8;22,3;35,6;53,8;84,7;15,7;8,5;162 697
00BJ;Wandsworth;200,1;24,3;37,6;57,1;94,4;16,8;9,3;220 004
00BK;Westminster;195,7;23,3;37,3;55,6;91,6;17,0;9,1;186 973
;;;;;;;;;
A;North East;175,9;20,8;32,8;51,1;89,3;10,3;9,8;1 878 393
B;North West;200,6;26,3;27,8;62,3;108,2;17,1;3,1;4 989 876
D;Yorkshire and the Humber;166,3;18,7;29,8;47,1;85,4;9,6;8,1;3 733 667
E;East Midlands;137,4;13,2;21,7;37,3;72,9;7,6;4,9;3 169 885
F;West Midlands;146,7;14,8;17,4;35,8;88,1;8,9;1,5;3 875 614
G;East;169,7;16,1;27,9;36,6;99,0;11,1;9,7;4 035 046
H;London;182,1;21,8;35,2;53,2;84,4;15,5;8,5;5 591 298
J;South East;141,9;11,7;19,7;37,2;79,1;7,5;7,5;5 936 136
K;South West;166,5;19,0;13,2;42,1;94,9;8,5;6,2;3 682 395
;;;;;;;;;
921;England;165,7;18,0;25,0;45,0;89,1;11,0;6,5;36 892 310
;;;;;;;;;
